10341	ident:local	decl:call:this.ROW_SCHEMA[ which ] .map( f => `<div class="task-disclo	fields
10341	ident:param	fn@10335	modifier
10344	call:discLine		discLine( "line2", "fields" )
10344	call:discLine		discLine( "line3", "actions" )
10347	call:this._taskStatusClass		this._taskStatusClass( task.status )
10347	ident:local	decl:cond(member|literal)	rowClass
10348	ident:local	decl:call:this.ROW_SCHEMA.line1 .map( f => `<td class="task-col-${f}${	cells
10349	call:this._disclosureToggle		this._disclosureToggle( task )
10351	call:this._taskStatusClass		this._taskStatusClass( task.status )
10351	ident:local	decl:call:this._escapeTaskAttr	idAttr
10351	ident:local	decl:call:this._rowWidth	width
10351	ident:local	decl:template	disclosed
10352	ident:local	decl:call:this._escapeTaskAttr	idAttr
10352	ident:local	decl:call:this._rowWidth	width
10398	ident:local	decl:call:this._escapeTaskAttr	id
10529	ident:param	fn@10528	label
10529	ident:param	fn@10528	value
10530	ident:param	fn@10528	label
10530	ident:param	fn@10528	value
10530	ident:param	fn@10528	why
10558	ident:local	decl:call:this._escapeTaskAttr	id
10559	ident:local	decl:call:[ option( "park", "Park", parkLegal, isTerminal ? deadReason	options
10561	ident:local	decl:call:this._escapeTaskAttr	id
10564	ident:local	decl:call:this._escapeTaskAttr	id
10566	ident:local	decl:call:this._escapeTaskAttr	id
10631	call:this._escapeTaskAttr		this._escapeTaskAttr( v )
10634	ident:local	decl:call:this._escapeTaskAttr	id
10638	ident:local	decl:call:this._escapeTaskAttr	id
10901	ident:local	decl:call:this._escapeTaskAttr	id
10904	call:this._escapeTaskAttr		this._escapeTaskAttr( chip.move )
10904	ident:local	decl:call:this._escapeTaskAttr	id
10904	ident:local	decl:call:this._escapeTaskAttr	ts
10908	ident:local	decl:call:this._escapeTaskAttr	id
10909	ident:local	decl:call:this._escapeTaskAttr	id
12001	ident:local	decl:call:this._taskGroupIdSlug	idSlug
12002	call:this._rowWidth		this._rowWidth()
12002	ident:local	decl:template	chevron
12006	ident:local	decl:call:group.tasks.map( t => this._renderTaskRow( t, ianaZone ) ).j	rows
12006	ident:local	decl:call:this._escapeTaskAttr	ownerAttr
12006	ident:local	decl:call:this._taskGroupIdSlug	idSlug
12006	ident:local	decl:template	groupHeaderHtml
12009	ident:local	decl:call:model.groups.map( group => { const ownerKey = this._taskGrou	body
12009	ident:local	decl:call:this._taskTableHeaderRow	headerRow
12316	call:warnings.map( w => this._escapeTaskAttr( String( w ) ) ).joi		warnings.map( w => this._escapeTaskAttr( String( w ) ) ).join( " · " )
12330	ident:local	decl:undefined-init ; assign:template ; assign:literal	detail
12716	ident:local	decl:logical(member||literal)	glyph
12725	ident:local	decl:call:rows.map( event => { const when = this._finishedTasksRelativ	cells
13897	ident:local	decl:call:this._escapeTaskAttr	key
13900	member		tasks.length
13901	ident:local	decl:call:this._escapeTaskAttr	key
13903	ident:local	decl:call:this._escapeTaskAttr	key
13905	ident:local	decl:call:this._escapeTaskAttr	key
13907	ident:local	decl:call:this._escapeTaskAttr	key
13910	call:this._taskTableHeaderRow		this._taskTableHeaderRow()
13911	ident:local	decl:call:tasks.map( t => this._renderTaskRow( t, ianaZone ) ).join	rows
14712	cond(binary(binary(literal+ident)+literal)|literal)		extraClass ? " " + extraClass + "-header" : ""
14712	ident:local	decl:call:this._epicGroupIdSlug	idSlug
14713	call:this._rowWidth		this._rowWidth()
14713	ident:local	decl:template	chevron
14713	ident:param	method _renderEpicGroup	headerLabel
14713	member		tasks.length
14719	call:this._rowWidth		this._rowWidth()
14723	cond(binary(literal+ident)|literal)		extraClass ? " " + extraClass : ""
14723	ident:local	decl:call:tasks.map( t => this._renderEpicRow( t ) ).join	rows
14723	ident:local	decl:call:this._epicGroupIdSlug	idSlug
14723	ident:local	decl:call:this._escapeTaskAttr	epicAttr
14723	ident:local	decl:template	groupHeaderHtml
14788	call:sections.join		sections.join( "" )
14788	ident:local	decl:call:this._rowTableHeaderRow	headerRow
15591	member		jobMetadata.job_id
15594	member		jobMetadata.job_id
15972	logical(member||literal)		persona.color || '#888'
15973	ident:local	decl:logical(logical(member||member)||literal)	label
15974	logical(member||literal)		persona.icon || '🎙️'
15975	ident:local	decl:logical(logical(member||member)||literal)	label
18570	ident:param	method showSessionNameEditModal	sessionId
19063	ident:local	decl:member	sessionId
19067	ident:local	decl:call:senderId.replace	escapedSenderId
19070	ident:local	decl:member	sessionId
19071	logical(ident||literal)		sessionName || ''
19116	ident:local	decl:member	sessionId
19116	ident:param	method createSenderCard	senderId
19119	ident:local	decl:member	sessionId
19120	ident:local	decl:member	sessionId
19121	ident:local	decl:cond(cond-safe-branches|cond-safe-branches)	conversationModeIcon
19121	ident:local	decl:cond(cond-safe-branches|cond-safe-branches)	conversationModeTitle
19123	ident:local	decl:member	sessionId
19126	ident:local	decl:member	sessionId
19129	ident:local	decl:member	sessionId
19135	ident:local	decl:call:senderId.replace	escapedSenderId
19137	ident:local	decl:call:this.getSenderStatusIndicator	statusIndicator
19138	ident:local	decl:call:parsed.project.toUpperCase	projectName
19141	ident:local	decl:call:this._renderPersonaBadgeHTML	personaBadge
19146	ident:local	decl:call:senderId.replace	escapedSenderId
19150	call:senderId.replace		senderId.replace( /[@.#]/g, '-' )
19230	ident:local	decl:call:senderId.replace	escapedSenderId
19230	ident:param	method createDateAccordion	dateString
19231	ident:param	method createDateAccordion	dateString
19233	ident:local	decl:call:senderId.replace	escapedSenderId
19233	ident:param	method createDateAccordion	dateString
19236	call:senderId.replace		senderId.replace( /[@.#]/g, '-' )
19236	ident:param	method createDateAccordion	dateString
19404	ident:local	decl:undefined-init ; assign:member ; assign:call:timestamp.toLocaleTimeString	timeStr
